productName,variantName,productPrice,productImage,categoryID
Beef Striploin/Sirloin (800g-1kg) [HALAL],,27,media/Site Files/Beef-Striploin-1.jpg,15
Beef Tenderloin (800g-1kg) [HALAL],,30,media/Site Files/Beef-Tenderloin-1.jpg,15
Beef Knuckle (800g-1kg) [HALAL],,24,media/Site Files/Beef-Knuckle-1.jpg,15
Beef Silverside (800g-1kg) [HALAL],,23,media/Site Files/Beef-Silverside-1.jpg,15
Beef Trimmings (800g-1kg) [HALAL],,16,media/Site Files/Beef-Trimming-1.jpg,15
Beef Brisket (800g-1kg) [HALAL],,21.2,media/Site Files/Beef-Brisket-1.jpg,15
Beef Rump (800g-1kg) [HALAL],,23,media/Site Files/Beef-Rump-1.jpg,15
Beef Blade (800g-1kg) [HALAL],,21,media/Site Files/Beef-Blade.jpg,15
Beef Neck Bone (800g-1kg) [HALAL],,25.4,media/Site Files/Beef-Neck-Bone-1.jpg,15
NZ Black Mussels / NZ 黑蚝 (1 packet),,11.7,media/Site Files/NZ-Black-Mussels-1.jpg,17
Mussel Meat / 冷冻青口肉 (500g),,24,media/Site Files/Frozen-Mussel-Meat.jpg,17
Half Shell Scallop / 半边壳带子 (1kg),,24,media/Site Files/scallop-1.jpg,17
Cockle Meat / 蛤蜊肉 / Isi Kerang (1kg),,14,media/Site Files/Cockle-Clam-Meat.jpg,17
Frozen Cooked White Clam Whole Shell ( Hamaguri ) 冷凍熟白蛤 (1kg),,23,media/Site Files/Frozen-Cooked-White-Clam-Whole-Shell-Hamaguri-.jpg,17
Dried Oyster / 蚝干 (200g),,24,media/Site Files/Dried-Oyster-200G-1.jpg,17
Grade A USA Scallop / 美国带子 (500g),,48,media/Site Files/Grade-A-USA-Scallop-500g.jpg,17
Pink Half Shell Scallop / 粉壳半壳带子 (500g),,16,media/Site Files/Pink-Half-Shell-Scallop-1.jpg,17
Sanma Fish,,0,media/Site Files/unnamed_1.jpg,18
Saba Fish,,0,media/Site Files/saba fish.jpg,18
Shishamo (1 packet),,10,media/Site Files/1300-6-e1593067294737.png,18
Grab Meat,,0,media/Site Files/71f67488b0857639cee631943a3fc6fa_L.jpg,19
Flower Grab,,0,media/Site Files/flower.jpg,19
Stone Crab Live,,0,media/Site Files/de crabe.jpg,19
Whole Squid,,0,media/Site Files/frozen-squid-500x500-1.jpg,22
Boiled Giant Octopus / Ni Tako / (Halal) 冷凍真蛸 (1pc),,115,media/Site Files/Ni-Tako-Boiled-Giant-Octopus-HALAL-.jpg,22
Soft Shell Crab 软壳蟹 (1kg),,58,media/Site Files/Soft-Shell-Crab-30-Glazing.jpg,19
King Crab / 帝王蟹 (1 pc),,190,media/Site Files/King-Crab.jpg,19
Squid Ring / 苏东圈 (1kg),,9.1,media/Site Files/Squid-Ring-1.jpg,22
Wild Chilean sea bass,,0,media/Site Files/0000177_cod-fish_360.jpeg,20
Squid whole clean,,0,media/Site Files/squid whole clean.jpg,22
CuttleFish 1kg,,0,media/Site Files/360_F_51156871_SPOrAyXC4MVNMYpkd6iy74UOVJRjHVaa.jpg,22
Baby cuttlefish,,0,media/Site Files/raw-cuttlefish-whole-cleaned-2040-pcs-1-kg-bag-frozen-540383.jpg,22
Unagi Kabayaki (1 pc),,22.1,media/Site Files/Unagi-Kabayaki.jpg,18
Grouper / 石班 / Kerapu – Whole Fish (+/- 1.1kg),,48,media/Site Files/Grouper-.jpg,18
Butter Fish Fillet,,0,media/Site Files/butter fish fillet.jpg,20
Cod Loin,,0,media/Site Files/cod loin.jpg,20
Saba Mackerel Fillet / Fillet Tenggiri Saba / 鲭鱼厚片(2 pcs),,9.8,media/Site Files/Saba-Mackerel-Fillet.jpg,18
Redfish Slice / 红鱼片 (1 pc),,12,media/Site Files/Redfish-Fillet.jpg,18
Lobster / 龙虾 / Udang Kara (2 pcs) +/- 2kg,,243,media/Site Files/Lobster.jpg,21
